,identifier,pollster:id,middle_date,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y,value_y
choice:id,,,,ANO,KDU-ČSL,KSČM,ODS,Piráti,Piráti+STAN,Přísaha,SPD,SPOLU,STAN,TOP 09,Trikolóra,Trikolóra+Svobodní+Soukromníci,Zelení,ČSSD,ANO,KDU-ČSL,KSČM,ODS,Piráti,Piráti+STAN,Přísaha,SPD,SPOLU,STAN,TOP 09,Trikolóra,Trikolóra+Svobodní+Soukromníci,Zelení,ČSSD
0,2017-11,Kantar,2017-11-14,0.3,0.045,0.07,0.12,0.14,,,0.095,,0.055,0.05,,,0.03,0.055,0.3178712175032709,0.05080087270385066,0.07684750614673384,0.11951450904926848,0.12965286068102294,,,0.08221285883910957,,0.04564810154278064,0.04635394204289887,,,0.022461740149817395,0.08117453436625618
1,2017-12,CVVM,2017-12-09,0.355,0.065,0.075,0.115,0.115,,,0.065,,0.04,0.045,,,,0.1,0.3246589758297986,0.05300413177054723,0.07944829240289882,0.11933011225354348,0.1257228608891337,,,0.0773561094950075,,0.042096109261857695,0.04496911416237122,,,,0.09111601784688753
2,2018-01,CVVM,2018-01-19,0.305,0.05,0.08,0.12,0.125,,,0.075,,0.03,0.04,,,0.015,0.125,0.31722960060691946,0.04962581270577067,0.08383837641335844,0.12111035131523666,0.1269429974618661,,,0.07846086506642615,,0.03977929573146192,0.0436840163897599,,,0.013584210059990004,0.09624197817555485
3,2018-02,CVVM,2018-02-09,0.335,0.035,0.1,0.105,0.13,,,0.065,,0.03,0.035,,,0.01,0.12,0.31715446804035313,0.048723362518190996,0.08531546204224498,0.12215550009128218,0.1274481177682865,,,0.07867506388479308,,0.04083427181466915,0.04374226067107062,,,0.012666088997413729,0.09370611139795958
4,2018-02,Kantar,2018-02-13,0.33,0.05,0.065,0.12,0.125,,,0.085,,0.045,0.045,,,,0.075,0.31642438218175695,0.048978359024078086,0.08497990377486306,0.12310439264763401,0.12738663968672126,,,0.07874994733844291,,0.0413358091856729,0.04387356258533078,,,,0.09307708306928118
5,2018-02,STEM,2018-02-04,0.325,0.05,0.09,0.11,0.13,,,0.095,,0.04,0.05,,,0.01,0.07,0.31740250777815554,0.04893430727704181,0.08517193269442365,0.12159323495206889,0.12742732349031471,,,0.07912018234229118,,0.04060727411724353,0.04391745788373732,,,0.012737959349574777,0.09348605285210675
6,2018-03,CVVM,2018-03-09,0.305,0.045,0.11,0.125,0.125,,,0.065,,0.045,0.045,,,0.01,0.11,0.3096006783158528,0.050311697481378766,0.08662044364787408,0.12932420719597815,0.12745511763334502,,,0.07805748970304012,,0.04365679412337019,0.04445074026704638,,,0.013015791329636752,0.0926222335649813
7,2018-03,Kantar,2018-03-19,0.295,0.05,0.065,0.14,0.135,,,0.075,,0.06,0.045,,,0.02,0.085,0.3074130568827422,0.051175763945001236,0.08558056167341933,0.13191702337830602,0.1276529115533603,,,0.0787206143576134,,0.04441646407064465,0.04462452244309527,,,0.013383178677905125,0.09123319683898745
8,2018-04,CVVM,2018-04-13,0.29,0.065,0.1,0.135,0.125,,,0.075,,0.03,0.045,,,0.01,0.115,0.3045843973162413,0.05326794054868172,0.08659038537273801,0.13633282737949984,0.12691032180186507,,,0.08077825041308848,,0.043590747636545406,0.044947157826125766,,,0.012843066393459862,0.08917273870299049
9,2018-04,Kantar,2018-04-17,0.305,0.055,0.08,0.145,0.145,,,0.08,,0.055,0.04,,,,0.065,0.3045657794882797,0.05325929867669051,0.08640246754113724,0.13693352061889877,0.12685993178683486,,,0.0811804773845843,,0.04380668825189761,0.04498748365689957,,,,0.08829461337376934
10,2018-04,Median,2018-04-22,0.305,0.055,0.085,0.14,0.115,,,0.09,,0.04,0.06,,,0.015,0.08,0.3045306538507156,0.053197929273406164,0.08636371278630939,0.13742045025305932,0.12626814555015836,,,0.0816992385754273,,0.04373890441603876,0.04518205723360811,,,0.012877089292150753,0.08791958107756019
11,2018-04,STEM,2018-04-24,0.32899999999999996,0.054000000000000006,0.085,0.13699999999999998,0.135,,,0.09,,0.039,0.039,,,0.008,0.07,0.3045112771334794,0.05315256461315782,0.0863643880095864,0.13758256360862625,0.12616645156595543,,,0.0818068670603475,,0.04375595240893041,0.04508523527829774,,,0.012852461534603307,0.0878642610040289
12,2018-05,CVVM,2018-05-18,0.29,0.055,0.105,0.13,0.11,,,0.075,,0.045,0.03,,,0.01,0.13,0.3006026435590699,0.05244575249655095,0.0865769864735598,0.13974277481375422,0.12354544244309013,,,0.08195843275533096,,0.04468493575532046,0.04475675307362235,,,0.013467522289929548,0.08982736691321903
13,2018-05,Kantar,2018-05-22,0.27,0.04,0.075,0.16,0.145,,,0.09,,0.055,0.05,,,,0.07,0.3002288786187353,0.05227252554041029,0.0861757087909106,0.14031794750343912,0.12344684491206837,,,0.08214702764479909,,0.04482585992735731,0.045052910028575706,,,,0.0891918411522543
14,2018-06,CVVM,2018-06-22,0.31,0.06,0.105,0.14,0.1,,,0.065,,0.045,0.045,,,0.01,0.11,0.302734227741604,0.05379899386290599,0.08638280848358197,0.14128329116747806,0.11937496812396063,,,0.081146431374767,,0.043930151324795545,0.04603805307050499,,,0.014383420334135524,0.08828368645153052
15,2018-06,Kantar,2018-06-12,0.285,0.05,0.07,0.155,0.12,,,0.095,,0.055,0.035,,,0.02,0.08,0.30187829804561817,0.052981164542663335,0.0855244919626671,0.14106920388826213,0.12031082059416011,,,0.08212661539610686,,0.044349244393739946,0.04582893825178517,,,0.014595042361287051,0.08822611233546582
16,2018-06,Median,2018-06-10,0.315,0.045,0.08,0.125,0.115,,,0.085,,0.04,0.06,,,0.02,0.09,0.30186652113574447,0.05283486163337168,0.08552557563014013,0.14083519679193354,0.12053687702777396,,,0.08215824609458984,,0.0443468643653176,0.04590634190264128,,,0.014585468781967021,0.08833108504042175
17,2018-06,STEM,2018-06-20,0.32,0.063,0.091,0.155,0.102,,,0.086,,0.027000000000000003,0.049,,,0.006,0.079,0.3027229602936567,0.05371994834541872,0.08625269065274475,0.14136842302858638,0.11940135312464875,,,0.08138978846710772,,0.0438563457421244,0.04602354346896881,,,0.014333331143270395,0.08818518113754792
18,2018-07,Median,2018-07-10,0.3,0.055,0.085,0.14,0.115,,,0.085,,0.04,0.05,,,0.025,0.085,0.30195161436275636,0.05386536333212824,0.08544831162943549,0.14054219733991133,0.12150060930641654,,,0.08057663825515769,,0.04457794778899923,0.046320345095261325,,,0.015568317174767978,0.08663020830074339
19,2018-08,Kantar,2018-08-15,0.28,0.055,0.08,0.13,0.15,,,0.08,,0.065,0.05,,,,0.065,0.30030267807244226,0.053687767321862576,0.08309858375485867,0.13884424865174208,0.12909035465064353,,,0.07793922813409636,,0.04773275856613235,0.04577569751347543,,,,0.08296949331487757
20,2018-08,Median,2018-08-11,0.31,0.055,0.09,0.14,0.105,,,0.08,,0.035,0.055,,,0.02,0.085,0.30070384037002357,0.053737395513076006,0.08350436712849148,0.13904560098287608,0.12773652788579956,,,0.0782583549030071,,0.04710481228864752,0.046052588718376024,,,0.015487417523462539,0.08339254100419832
21,2018-09,CVVM,2018-09-14,0.3,0.045,0.105,0.14,0.13,,,0.05,,0.04,0.04,,,0.01,0.12,0.30157983251445303,0.05312333915775086,0.08126400029562715,0.13932742933425651,0.1343350150011527,,,0.07493533404374268,,0.04871190272365053,0.042978911466346234,,,0.013985685203056045,0.08375394987171071
22,2018-09,Kantar,2018-09-11,0.295,0.05,0.055,0.13,0.155,,,0.09,,0.055,0.04,,,0.02,0.07,0.30135892734457914,0.053118916426235924,0.08097700478128865,0.13912815284375327,0.13423470782748329,,,0.07544794939942284,,0.04873429349637455,0.04316845667182041,,,0.014218286344433716,0.0834539278199866
23,2018-10,CVVM,2018-10-19,0.3,0.07,0.085,0.19,0.11,,,0.05,,0.04,0.035,,,,0.09,0.30506723481336406,0.05471014095992514,0.07966961413717602,0.14241631689493137,0.13671991139079967,,,0.07348157949999289,,0.04955590712293801,0.04120967931649533,,,,0.07971542649572193
