,pollster:id,middle_date,choice:id,value,week_label
38,CVVM,2018-03-09,Zelení,0.01,W10/18
39,CVVM,2018-04-13,ANO,0.29,W15/18
40,CVVM,2018-04-13,ČSSD,0.115,W15/18
41,CVVM,2018-04-13,KSČM,0.1,W15/18
42,CVVM,2018-04-13,ODS,0.135,W15/18
43,CVVM,2018-04-13,TOP 09,0.045,W15/18
44,CVVM,2018-04-13,KDU-ČSL,0.065,W15/18
45,CVVM,2018-04-13,Piráti,0.125,W15/18
46,CVVM,2018-04-13,SPD,0.075,W15/18
47,CVVM,2018-04-13,STAN,0.03,W15/18
48,CVVM,2018-04-13,Zelení,0.01,W15/18
49,Median,2018-04-22,ANO,0.305,W16/18
50,Median,2018-04-22,ODS,0.14,W16/18
51,Median,2018-04-22,Piráti,0.115,W16/18
52,Median,2018-04-22,SPD,0.09,W16/18
53,Median,2018-04-22,KSČM,0.085,W16/18
54,Median,2018-04-22,ČSSD,0.08,W16/18
55,Median,2018-04-22,TOP 09,0.06,W16/18
56,Median,2018-04-22,KDU-ČSL,0.055,W16/18
57,Median,2018-04-22,STAN,0.04,W16/18
58,Median,2018-04-22,Zelení,0.015,W16/18
59,Kantar,2018-04-17,ANO,0.305,W16/18
60,Kantar,2018-04-17,ODS,0.145,W16/18
61,Kantar,2018-04-17,Piráti,0.145,W16/18
62,Kantar,2018-04-17,KSČM,0.08,W16/18
63,Kantar,2018-04-17,SPD,0.08,W16/18
64,Kantar,2018-04-17,ČSSD,0.065,W16/18
65,Kantar,2018-04-17,KDU-ČSL,0.055,W16/18
66,Kantar,2018-04-17,STAN,0.055,W16/18
67,Kantar,2018-04-17,TOP 09,0.04,W16/18
68,Kantar,2017-11-14,ANO,0.3,W46/17
69,Kantar,2017-11-14,ODS,0.12,W46/17
70,Kantar,2017-11-14,Piráti,0.14,W46/17
71,Kantar,2017-11-14,KSČM,0.07,W46/17
72,Kantar,2017-11-14,SPD,0.095,W46/17
73,Kantar,2017-11-14,ČSSD,0.055,W46/17
74,Kantar,2017-11-14,KDU-ČSL,0.045,W46/17
