party_code,gain,needs,party_code_2017,name,color
svobodni,0.0156,0.05,svobodni,Svobodní,#009982
zeleni,0.0146,0.05,zeleni,Zelení,#06b15d
trikolora,0.028281527812404,0.05,svobodni,Trikolóra,#3243d2
cssd,0.0727,0.05,cssd,ČSSD,#F07D00
kscm,0.0776,0.05,kscm,KSČM,#8c0000
spd,0.1064,0.05,spd,SPD,#ea2329
spolu,0.2243,0.11,spolu,SPOLU,#004494
ano,0.2964,0.05,ano,ANO,#261060
pirati+stan,0.1597,0.08,pirati+stan,Piráti+STAN,#000000
