party_code,region_code,votes
ano,jc,91012
ano,jm,159909
ano,ka,43268
ano,kr,88551
ano,li,62302
ano,mo,194069
ano,ol,95950
ano,pa,79551
ano,pl,84114
ano,pr,124445
ano,st,189371
ano,us,127574
ano,vy,75247
ano,zl,84750
cssd,jc,23035
cssd,jm,49248
cssd,ka,8530
cssd,kr,18128
cssd,li,11811
cssd,mo,48417
cssd,ol,22760
cssd,pa,19294
cssd,pl,21643
cssd,pr,34079
cssd,st,43853
cssd,us,22464
cssd,vy,24631
cssd,zl,20454
spolu,jc,71928
spolu,jm,148021
spolu,ka,18176
spolu,kr,62844
spolu,li,34590
spolu,mo,90448
spolu,ol,62426
spolu,pa,56776
spolu,pl,55427
spolu,pr,205650
spolu,st,147183
spolu,us,50660
spolu,vy,60447
spolu,zl,70826
kscm,jc,29414
kscm,jm,46966
kscm,ka,9960
kscm,kr,19792
kscm,li,13981
kscm,mo,47651
kscm,ol,26853
kscm,pa,20002
kscm,pl,23502
kscm,pr,28158
kscm,st,47695
kscm,us,33628
kscm,vy,24829
kscm,zl,20669
pirati+stan,jc,47578
pirati+stan,jm,74429
pirati+stan,ka,18717
pirati+stan,kr,44116
pirati+stan,li,50639
pirati+stan,mo,61794
pirati+stan,ol,39535
pirati+stan,pa,40001
pirati+stan,pl,40381
pirati+stan,pr,138510
pirati+stan,st,133183
pirati+stan,us,40303
pirati+stan,vy,37337
pirati+stan,zl,42027
spd,jc,31062
spd,jm,67973
spd,ka,15233
spd,kr,28038
spd,li,22878
spd,mo,76027
spd,ol,41397
spd,pa,26202
spd,pl,28686
spd,pr,35547
spd,st,59497
spd,us,42777
spd,vy,25237
spd,zl,38020
trikolora+svobodni+soukromnici,jc,5303
trikolora+svobodni+soukromnici,jm,10421
trikolora+svobodni+soukromnici,ka,1544
trikolora+svobodni+soukromnici,kr,4310
trikolora+svobodni+soukromnici,li,3152
trikolora+svobodni+soukromnici,mo,5892
trikolora+svobodni+soukromnici,ol,3963
trikolora+svobodni+soukromnici,pa,3998
trikolora+svobodni+soukromnici,pl,4138
trikolora+svobodni+soukromnici,pr,12857
trikolora+svobodni+soukromnici,st,10679
trikolora+svobodni+soukromnici,us,4595
trikolora+svobodni+soukromnici,vy,3565
trikolora+svobodni+soukromnici,zl,4812
zeleni,jc,4326
zeleni,jm,9147
zeleni,ka,1549
zeleni,kr,3650
zeleni,li,2907
zeleni,mo,6583
zeleni,ol,3588
zeleni,pa,3261
zeleni,pl,3321
zeleni,pr,14686
zeleni,st,9415
zeleni,us,5013
zeleni,vy,3204
zeleni,zl,3685
