,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date,middle_date_date_y,value_y
10,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,ČSSD,model psp,0.125,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.09624197817555485
11,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,KSČM,model psp,0.08,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.08383837641335844
12,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,ODS,model psp,0.12,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.12111035131523666
13,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,TOP 09,model psp,0.04,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.0436840163897599
14,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,KDU-ČSL,model psp,0.05,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.04962581270577067
15,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,Piráti,model psp,0.125,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.1269429974618661
16,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,SPD,model psp,0.075,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.07846086506642615
17,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,STAN,model psp,0.03,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.03977929573146192
18,2018-01,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf,2018-01-15,2018-01-24,2018-02-06,,CVVM,,,ČR,Michal Škop,,,model,2018-01,Zelení,model psp,0.015,Michal Škop,,2018-01-15,2018-01-24,2018-01-19,2018-01-19,2018-01-19,0.013584210059990004
19,2018-02,CVVM,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4530/f9/pv180226.pdf,2018-02-03,2018-02-15,2018-02-26,,CVVM,,,ČR,Michal Škop,,,model,2018-02,ANO,model psp,0.335,Michal Škop,,2018-02-03,2018-02-15,2018-02-09,2018-02-09,2018-02-09,0.31715446804035313
