party_code,gain,seats
ods,0.1132,25
cssd,0.0727,15
stan,0.0518,6
kscm,0.0776,15
pirati,0.1079,22
top-09,0.0531,7
ano,0.2964,78
kdu-csl,0.058,10
spd,0.1064,22
svobodni,0.0156,0
zeleni,0.0146,0
pirati+stan,0.1597,28
spolu,0.2243,42
trikolora+svobodni+soukromnici,0.0156,0
