,choice:id,mean,mean,mean,mean,mean,mean,mean,sd,sd,sd,sd,sd,sd,sd
pollster:id,,Data Collect,Kantar,Median,PAQ,Phoenix Research,STEM,Sanep,Data Collect,Kantar,Median,PAQ,Phoenix Research,STEM,Sanep
0,ANO,-0.025291703054871318,-0.011534227114174934,0.012410012396796198,0.013036792808594919,0.005142169422522652,0.032755318129878204,0.005854608987234111,0.011741621224263487,0.019361299935360027,0.013843511908809229,0.01271279177614602,0.015180269645186352,0.022393041631530688,0.01623567517142627
1,Aliance pro budoucnost,,,,,0.0009192140478397025,,-0.0008401405174502704,,,,,0.0023474936063325336,,0.0033132080826951365
2,KDU-ČSL,-5.715288445425302e-05,0.0016077392629478013,,,,,,0.006649280935092066,0.00390311980859409,,,,,
3,KSČM,-0.004447008224570276,-0.003065258891701146,0.008871477836880816,-0.0005595824409664208,-0.0076541844480103195,0.0019957430772908577,0.0005141540434405625,0.014320107593707531,0.0035904526995938608,0.012103290101288165,0.00436716775530318,0.007653409027969546,0.0028372871420481367,0.004413366522517513
4,ODS,0.0062255744004588625,0.0002190820573385837,,,,,,0.007029108326271403,0.006708050340243722,,,,,
5,Piráti,-0.0038808733017092942,0.0012779161273103468,,,,,,0.00782605999643657,0.01930836183195541,,,,,
6,Piráti+STAN,0.01571842747892624,0.022202821692699357,-0.0054913065162330455,-0.004000910660158848,-0.01612389868962581,-0.004565097319617482,-0.0026981367452694935,0.006560199819182274,0.02634684980391597,0.012504579151973966,0.012468697291700604,0.021546110268887978,0.021705871170481724,0.014271740627805736
7,Přísaha,-0.00011658445341124618,0.0009788055307906418,0.0020780110746996872,,0.007047093013773036,-0.007660539195561184,0.00046844233693132026,0.004007522353283508,0.012239781728643356,0.01200539029826552,,0.009489110519671648,0.011225235167346498,0.004411858726825555
8,SPD,0.004189278364362735,-0.0013197376951869233,-0.016026352371830126,0.02783720691081047,0.008352609653259301,0.006773981324026637,-0.009625016310977563,0.014404925422444639,0.008586671953650453,0.012927365498015453,0.006956397394910456,0.007198579043580027,0.006652208498389342,0.004703926530603043
9,SPOLU,0.008058697476713526,0.01578077721128061,0.0010191515856545887,-0.01221728289199079,-0.009208208421240446,-0.006537205562946853,-0.000863393305019694,0.010764838059052742,0.016547147409779715,0.010743527088601077,0.005154600499006087,0.021677978256561654,0.017744863307961312,0.007467006084107447
10,STAN,0.008882739411135451,-0.0007835538044265357,,,,,,0.013458423805644742,0.011165916515637198,,,,,
11,TOP 09,-0.0033302658868430515,0.0055854979635345855,,,,,,0.005701144881869171,0.008887731730806538,,,,,
12,Trikolóra,,,-0.004123003923363063,,0.009927557687572693,,-0.0026647590222145224,,,0.0052803038937355665,,0.0020707184618524756,,0.0018996480912080878
13,Trikolóra+Svobodní+Soukromníci,0.002277484085621881,-0.004521090920552385,0.001681061329915097,-0.0020139974678496835,0.0034957970029625717,-0.004537140948100683,0.0034708815612186274,0.010053675617284574,0.007435044611763159,0.007568602218850194,0.002050042686802734,0.006423117629178144,0.006772569033670672,0.007757316978524338
14,Volný blok,,0.0006911783997220408,,,,,,,0.00012420885195810527,,,,,
15,Zelení,,,0.006450381720505324,,-0.004743863880867261,-0.004279962380926131,-0.002961263587367755,,,0.004394531502662933,,0.0011882980442157313,0.005525451177327079,0.001986919208823426
16,ČSSD,-0.009231061965578932,-0.011526818520933709,0.005192959462358048,-0.010689543525444664,0.009823590816425008,0.008293554935893949,0.007058923651607232,0.007367212962331996,0.0051691250249131316,0.011124745761531833,0.005531389261317963,0.004515911504907143,0.009702666715324049,0.0035791920105536514
