,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,middle_date,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date_date_y,value_y
17,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,Piráti+STAN,model psp,0.295,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.2584772861843972
18,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,ANO,model psp,0.265,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.2482370720253085
19,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,SPOLU,model psp,0.195,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.1895806459783355
20,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,SPD,model psp,0.105,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.10547850213502026
21,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,KSČM,model psp,0.05,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.05333420703997098
22,2021-01_b,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,"jedná se o ten samý průzkum jako 2021-01, ale zkoumaly 2 různé modely",2021-01-27,,model,2021-01_b,ČSSD,model psp,0.04,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.05028446467175001
23,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,ANO,model psp,0.265,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.24260997004364784
24,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,Piráti+STAN,model psp,0.25,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.26137032233591845
25,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,SPOLU,model psp,0.185,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.18742822522248714
26,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,SPD,model psp,0.1,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.10803253903526372
